QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
73b23b8a1b9c71cd,559,559,299777
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,559,559,299777
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
73b23b8a1b9c71cd,200000,200000,482355
372adc484b8fa830,150000,150000,259756
372adc484b8fa830,1500000,1500000,2131412
3db9ce4887350d09,10000,10000,19068
3db9ce4887350d09,1,1,4051
3db9ce4887350d09,5,5,5657
3db9ce4887350d09,29904,29904,2889307
3db9ce4887350d09,1320,1320,5029
3db9ce4887350d09,39694,39694,10120152
3db9ce4887350d09,1320,1320,5029
3db9ce4887350d09,11932,11932,2981992
3db9ce4887350d09,1320,1320,5029
3db9ce4887350d09,39694,39694,10120152
3db9ce4887350d09,1320,1320,5029
3db9ce4887350d09,25,25,6077
ed6641de1dfe8bc1,726007,726007,34434
ed6641de1dfe8bc1,29968,29968,4749
ed6641de1dfe8bc1,30204,30204,5287459
ed6641de1dfe8bc1,726007,726007,34434
ed6641de1dfe8bc1,29968,29968,4749
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,774,774,105188
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,119952,119952,13909909
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,11298,11298,2942390
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,119952,119952,13909909
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,774,774,105188
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,774,774,105188
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,119952,119952,13909909
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,11298,11298,2942390
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,119952,119952,13909909
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,12092,12092,1263229
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,774,774,105188
6efe88bca5f93a8f,25,25,10128
6efe88bca5f93a8f,25,25,10128
5e9a26b748af9519,228626,228626,34084
5e9a26b748af9519,1,1,11454
5e9a26b748af9519,5,5,7054
5e9a26b748af9519,2003,2003,209886
5e9a26b748af9519,1,1,11454
5e9a26b748af9519,5,5,7054
5e9a26b748af9519,183340,183340,36776691
5e9a26b748af9519,1,1,11454
5e9a26b748af9519,5,5,7054
5e9a26b748af9519,2003,2003,209886
5e9a26b748af9519,1,1,11454
5e9a26b748af9519,5,5,7054
5e9a26b748af9519,228626,228626,34084
5e9a26b748af9519,150000,150000,202622
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,817,817,126701
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,118742,118742,14255716
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11868,11868,3096749
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,118742,118742,14255716
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,817,817,126701
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,817,817,126701
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,118742,118742,14255716
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11868,11868,3096749
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,118742,118742,14255716
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,11883,11883,1620839
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,817,817,126701
4d7c2c73839ab778,25,25,9918
4d7c2c73839ab778,25,25,9918
716441263d3331d0,77905,77905,111404
716441263d3331d0,200000,200000,361312
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,783,783,103582
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,119724,119724,12381197
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,11270,11270,2998336
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,119724,119724,12381197
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,783,783,103582
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,783,783,103582
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,119724,119724,12381197
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,11270,11270,2998336
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
